Ano;Sigla Veículo;Veículo;Qualis;Fator de Impacto;Título;Docentes
2016;Capricho;Capricho;A1;23,000;Bia: Por que veio de batom?;Gabriel Rezende
2016;Elle;Elle;A1;435,000;Morfeu: será sono ou preguiça?;Luiz Otavio Costa
2015;tkiki;tkiki;A1;12,000;Como não reprovar em calculo: um estudo de caso;Luiz Otavio Costa,Docinho,Florzinha
2014;Capricho;Capricho;A1;23,000;Teoria da fisica molecular;Beatriz Ogioni
2014;EUEW;EUEW;A1;0,000;Harry Potter: Drama ou será mesmo o Eleito?;Beatriz Ogioni
2013;Capricho;Capricho;A1;23,000;Barbie: Revolução feminista ou modelo de anorexia?;Beatriz Ogioni
2013;Capricho;Capricho;A1;23,000;Vidro: solido ou liquido? A pergunta que revolta gerações;Luiz Otavio Costa
2015;MASC;Magias amigas sem ciumes;A2;32,000;Será que joão do santo cristo realmente não tinha medo?;Gabriel Rezende
2013;LCAD;Lugar de carros atropeladores demais;A2;31,000;A revolução das galinhas está próxima?;Florzinha
2013;qeqw;que eu quero w;A2;11,000;Computacao quantica: Magia ou tecnologia;Antonio Evaristo
2016;NEMO;Nucleo educacional monetario otimizado;B2;12,000;Como identar bem seus codigos;Luiz Otavio Costa
2015;qwrer;qwrer;B2;3,000;Como conquistar os boys;Lindinha,Docinho,Florzinha
2014;Magasin;Magasin;B2;0,000;Silicone: melhor idade para colocar.;Felipe Branquinho
2014;NEMO;Nucleo educacional monetario otimizado;B2;12,000;Mafagafinhos. Mito ou verdade?;Luiz Otavio Costa,Beatriz Ogioni,Florzinha
2014;NEMO;Nucleo educacional monetario otimizado;B2;12,000;Ovo com batata antes de dormir: Faz bem?;Lindinha,Gabriel Rezende,Felipe Branquinho
2014;SAPAO;SAPAO;B2;13,000;Java é da hora;Lindinha,Luiz Otavio Costa,Florzinha
2013;NEMO;Nucleo educacional monetario otimizado;B2;12,000;Você Imagina Tudo Ou Realiza? Livre-se Imediatamente da Negação Demasiada do Objeto;Luiz Otavio Costa
2015;OXFORS;OXFORS;B3;456,000;Batatas: amigas ou comida?;Geraldo Otavio,Luiz Otavio Costa,Beatriz Ogioni
2014;LNDO;Lugar nacinal dos Onitorrincos;B3;54,000;Como saber se o boy é sapão ou embuste;Lindinha,Docinho,Florzinha
2013;TEP;TEP;B3;43,000;Netflix: cade o Sense8?;Luiz Otavio Costa
2016;Diga dinheiro;Nao diga alou, diga dinheiro;B4;243,000;Pilula vermelha ou pílula azul. As teorias de Matrix;Florzinha
2016;Diga dinheiro;Nao diga alou, diga dinheiro;B4;243,000;Porque o rato roeu a roupa do rei de roma?;Antonio Evaristo
2015;Vogue;Vogue;B5;43,000;Boys de aquario: seriam embustes?;Gabriel Rezende
2013;Vogue;Vogue;B5;43,000;Como ir bem nas materias;Florzinha
2016;Galileu;Galileu;C;234,000;Cavalo fantasma: Mito ou verdade?;Lindinha,Docinho,Florzinha
2016;Galileu;Galileu;C;234,000;Sala precisa: precisa ou necessaria?;Lindinha,Luiz Otavio Costa,Florzinha
2016;Peixonaltas;Peixonaltas;C;23,000;Andar traquilamente na favela onde eu nasci: eu só quero ser feliz?;Geraldo Otavio
2015;Galileu;Galileu;C;234,000;Teoria fisica das moleculas;Luiz Otavio Costa
2015;Galileu;Galileu;C;234,000;Text: Cafageste?;Geraldo Otavio
2015;Peixonaltas;Peixonaltas;C;23,000;Peixes: amigos ou comida?;Lindinha,Beatriz Ogioni,Florzinha
